"Timestamp","Name?","Favorite Movie Category?","Please Check All the Movies You've Liked!"
"2025/03/05 3:04:39 PM EST","Internet Bot","Sci/Fi;Comedy","Matrix Reloaded;Inception;Minority Report;Superbad;The 40 Year Old Virgin"
"2025/03/05 7:31:02 PM EST","Milu","Action","The Dark Knight;Inception;Avatar;Finding Nemo"
"2025/03/05 7:31:12 PM EST","John","Action;Sci/Fi;Animated","The Lord of the Rings: The Return of the King;The Dark Knight;Matrix Reloaded;Mean Girls;Spirited Away"
"2025/03/05 7:31:18 PM EST","Alex","Action","The Lord of the Rings: The Return of the King;The Dark Knight;Inception;Avatar;The Room;Mean Girls;Spirited Away"
"2025/03/05 7:31:20 PM EST","Nick","Sci/Fi","Matrix Reloaded;Avatar;Finding Nemo;Shrek 2;Spirited Away"
"2025/03/05 7:31:25 PM EST","Paulo","Action;Sci/Fi","The Lord of the Rings: The Return of the King;The Dark Knight;Matrix Reloaded;Inception;Avatar;Minority Report;The Departed;Superbad"
"2025/03/05 7:32:45 PM EST","A H","Sci/Fi","The Lord of the Rings: The Return of the King;The Dark Knight;Matrix Reloaded;Inception;Minority Report;The Room;The Departed;Superbad;Mean Girls;The 40 Year Old Virgin;Shrek 2;Spirited Away"
"2025/03/05 7:33:11 PM EST","Jason","Action;Sci/Fi;Comedy","The Lord of the Rings: The Return of the King;The Room"
"2025/03/05 7:33:22 PM EST","Vale","Sci/Fi","The Lord of the Rings: The Return of the King;The Dark Knight;Avatar;The Notebook;Superbad;Spirited Away"
"2025/03/05 7:33:34 PM EST","Pavel","Action;Drama;Sci/Fi","The Lord of the Rings: The Return of the King;The Dark Knight;Matrix Reloaded;Avatar;The 40 Year Old Virgin"
"2025/03/05 7:34:05 PM EST","Fabio","Sci/Fi;Comedy;Animated","The Lord of the Rings: The Return of the King;Matrix Reloaded;Avatar"
"2025/03/05 10:14:10 PM EST","Shijit Dasgupta","Action;Comedy","The Dark Knight;Inception;Superbad;The 40 Year Old Virgin;Finding Nemo;Spirited Away"
"2025/03/05 10:26:35 PM EST","Calvin","Action;Comedy","Finding Nemo;Shrek 2"
